phase,epoch_in_phase,epoch_global,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,1,0.7085882425308228,0.7286821603775024,0.14724524319171906,0.9609755873680115,0.9612932604735883,0.0005
head,2,2,0.19877304136753082,0.9345391988754272,0.07675140351057053,0.9707317352294922,0.9706456279384247,0.0005
head,3,3,0.14200885593891144,0.9552110433578491,0.06282700598239899,0.9707317352294922,0.9704203211634505,0.0005
head,4,4,0.11463744193315506,0.958656370639801,0.060551829636096954,0.9756097793579102,0.9754433822804769,0.0005
head,5,5,0.11892758309841156,0.9638243317604065,0.06262930482625961,0.9756097793579102,0.975336172957496,0.0005
head,6,6,0.09560392796993256,0.9664083123207092,0.04851249232888222,0.9804878234863281,0.9805336363445069,0.0005
head,7,7,0.09519283473491669,0.9664083123207092,0.06262616068124771,0.9756097793579102,0.975336172957496,0.0005
head,8,8,0.08303534239530563,0.9698535799980164,0.06534596532583237,0.9658536314964294,0.9656951933573721,0.0005
fine,1,9,0.09181209653615952,0.9629629850387573,0.041395921260118484,0.9804878234863281,0.9804215350523772,5e-06
fine,2,10,0.053016163408756256,0.9793282151222229,0.0430477000772953,0.9804878234863281,0.9805336363445069,5e-06
fine,3,11,0.05384059250354767,0.9767442345619202,0.033758506178855896,0.9804878234863281,0.9804215350523772,5e-06
fine,4,12,0.06107182800769806,0.9776055216789246,0.02610788121819496,0.9902439117431641,0.9902057936035306,5e-06
fine,5,13,0.045827433466911316,0.98277348279953,0.03645502030849457,0.9853658676147461,0.9855098479653347,5e-06
fine,6,14,0.04437815770506859,0.9819121956825256,0.02623772993683815,0.9902439117431641,0.9902057936035306,5e-06
fine,7,15,0.051175929605960846,0.9793282151222229,0.027353035286068916,0.9902439117431641,0.990234841762792,5e-06
fine,8,16,0.041163038462400436,0.9836348295211792,0.06097313016653061,0.9804878234863281,0.9805336363445069,5e-06
fine,9,17,0.051853474229574203,0.9810508489608765,0.028590133413672447,0.9902439117431641,0.9902057936035306,2.5e-06
fine,10,18,0.04621117189526558,0.9793282151222229,0.047824542969465256,0.9902439117431641,0.9906028720799417,2.5e-06
fine,11,19,0.042328447103500366,0.9836348295211792,0.045033954083919525,0.9902439117431641,0.9906028720799417,2.5e-06
fine,12,20,0.03710170462727547,0.9836348295211792,0.024544978514313698,0.995121955871582,0.995299336279524,2.5e-06
fine,13,21,0.03266840800642967,0.9853574633598328,0.04168979078531265,0.9804878234863281,0.9805336363445069,2.5e-06
fine,14,22,0.03639702498912811,0.9853574633598328,0.0356355719268322,0.9902439117431641,0.9906028720799417,2.5e-06
fine,15,23,0.03372934088110924,0.9870801568031311,0.02539803646504879,0.995121955871582,0.995299336279524,2.5e-06
fine,16,24,0.044288069009780884,0.9862188100814819,0.045142512768507004,0.9902439117431641,0.9906028720799417,2.5e-06
fine,17,25,0.037509772926568985,0.9844961762428284,0.02215968817472458,0.995121955871582,0.995299336279524,1.25e-06
fine,18,26,0.04075196757912636,0.9810508489608765,0.029832182452082634,0.9804878234863281,0.9805336363445069,1.25e-06
fine,19,27,0.0338326022028923,0.9853574633598328,0.025002995505928993,0.995121955871582,0.995299336279524,1.25e-06
fine,20,28,0.03168670833110809,0.9879414439201355,0.028052790090441704,0.9902439117431641,0.9906028720799417,1.25e-06
