summary_type,group_value,prediction_rows,transition_aware_accuracy,fold_name,transition_aware_accuracy_std,seed,held_out_sample,pork_cut,phone_group
overall,overall,13845,0.7007583965330444,,,,,,
fold,fold1,1800,0.8683333333333333,fold1,0.018027756377319872,,,,
fold,fold2,1800,0.5788888888888889,fold2,0.03150543750835074,,,,
fold,fold3,1554,0.7657657657657658,fold3,0.0930720855174501,,,,
fold,fold4,1650,0.8127272727272726,fold4,0.006298366572977664,,,,
fold,fold5,1800,0.75,fold5,0.0976530138352683,,,,
fold,fold6,1800,0.5,fold6,0.0,,,,
fold,fold7,1641,0.6026812918951859,fold7,0.011019586422928204,,,,
fold,fold8,1800,0.7372222222222221,fold8,0.003469443332443588,,,,
seed,42,4615,0.718090364783692,,0.13519842207283958,42,,,
seed,123,4615,0.6936068237804983,,0.13832618763389484,123,,,
seed,2026,4615,0.6941598519980604,,0.12786733029885247,2026,,,
held_out_sample,pork_belly_sample_3,1554,0.7657657657657658,,0.0930720855174501,,pork_belly_sample_3,,
held_out_sample,pork_belly_sample_4,1650,0.8127272727272726,,0.006298366572977664,,pork_belly_sample_4,,
held_out_sample,pork_ham_sample_5,1800,0.75,,0.0976530138352683,,pork_ham_sample_5,,
held_out_sample,pork_ham_sample_6,1800,0.5,,0.0,,pork_ham_sample_6,,
held_out_sample,pork_loin_sample_7,1641,0.6026812918951859,,0.011019586422928204,,pork_loin_sample_7,,
held_out_sample,pork_loin_sample_8,1800,0.7372222222222221,,0.003469443332443588,,pork_loin_sample_8,,
held_out_sample,pork_shoulder_sample_1,1800,0.8683333333333333,,0.018027756377319872,,pork_shoulder_sample_1,,
held_out_sample,pork_shoulder_sample_2,1800,0.5788888888888889,,0.03150543750835074,,pork_shoulder_sample_2,,
pork_cut,belly,3204,0.7892465192465193,,0.06436185167046361,,,belly,
pork_cut,ham,3600,0.625,,0.15021466121668825,,,ham,
pork_cut,loin,3441,0.669951757058704,,0.07405245376601034,,,loin,
pork_cut,shoulder,3600,0.7236111111111111,,0.16018883532557113,,,shoulder,
phone_group,new_phone,3600,0.625,,0.15021466121668825,,,,new_phone
phone_group,old_phone,6804,0.7564288151788152,,0.12133296598068598,,,,old_phone
phone_group,unknown,3441,0.669951757058704,,0.07405245376601034,,,,unknown
