phase,epoch_in_phase,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,0.8608361482620239,0.6137174963951111,0.37393704056739807,0.8831169009208679,0.8829108512388365,0.0005
head,2,0.47542059421539307,0.7990821599960327,0.26337727904319763,0.9004328846931458,0.9026100022953014,0.0005
head,3,0.37216663360595703,0.8531361818313599,0.19109147787094116,0.9422799348831177,0.9431254616439801,0.0005
head,4,0.32416146993637085,0.8669046759605408,0.17023788392543793,0.939393937587738,0.9399453024453024,0.0005
head,5,0.29797202348709106,0.886537492275238,0.14723250269889832,0.9567099809646606,0.9570570344408077,0.0005
head,6,0.27370762825012207,0.8931667804718018,0.1386849284172058,0.9509379267692566,0.9514418092774367,0.0005
head,7,0.25764650106430054,0.8977562785148621,0.1280249059200287,0.9595959782600403,0.9597891280110865,0.0005
head,8,0.2311515063047409,0.9066802859306335,0.11846955865621567,0.9523809552192688,0.9525696917227636,0.0005
fine,1,0.2167883962392807,0.9168791770935059,0.1106361374258995,0.9581529498100281,0.9583821763121075,1e-05
fine,2,0.21675020456314087,0.9135645627975464,0.10784264653921127,0.9595959782600403,0.9598572431998132,1e-05
fine,3,0.2126034051179886,0.921213686466217,0.10734256356954575,0.9595959782600403,0.9598572431998132,1e-05
fine,4,0.21265703439712524,0.9161142706871033,0.10681799799203873,0.9595959782600403,0.9598572431998132,1e-05
fine,5,0.21232330799102783,0.9158592820167542,0.10639386624097824,0.9610389471054077,0.961247198443964,5e-06
fine,6,0.20799927413463593,0.9163692593574524,0.10615161806344986,0.9610389471054077,0.961247198443964,5e-06
fine,7,0.22087669372558594,0.9133095741271973,0.10560570657253265,0.9624819755554199,0.9626367960119371,5e-06
fine,8,0.21300572156906128,0.9176440834999084,0.10595359653234482,0.9610389471054077,0.961247198443964,5e-06
fine,9,0.20377562940120697,0.918408989906311,0.10536811500787735,0.9610389471054077,0.961247198443964,5e-06
fine,10,0.2129882574081421,0.9166241884231567,0.10525759309530258,0.9610389471054077,0.961247198443964,2.5e-06
fine,11,0.2115595042705536,0.9189189672470093,0.10509767383337021,0.9610389471054077,0.961247198443964,2.5e-06
