phase,epoch_in_phase,loss,accuracy,val_loss,val_accuracy,val_f1_macro,lr
head,1,0.8039626479148865,0.6341152787208557,0.409405380487442,0.8816738724708557,0.8848111555846443,0.0005
head,2,0.46677592396736145,0.8179500699043274,0.267950177192688,0.9177489280700684,0.9175766032908891,0.0005
head,3,0.3518342971801758,0.8643549680709839,0.20161840319633484,0.9278499484062195,0.9286836313341778,0.0005
head,4,0.3255178928375244,0.8735339641571045,0.17960205674171448,0.9422799348831177,0.9426256995032679,0.0005
head,5,0.2873639464378357,0.8898521661758423,0.1570943146944046,0.9451659321784973,0.9458226262714975,0.0005
head,6,0.26470011472702026,0.8934217691421509,0.1374335139989853,0.9581529498100281,0.9584602629938787,0.0005
head,7,0.24499577283859253,0.8992860913276672,0.14975892007350922,0.9365079402923584,0.9365662003997465,0.0005
head,8,0.23524993658065796,0.9048954844474792,0.12492921948432922,0.9595959782600403,0.9598059773791991,0.0005
fine,1,0.2012649029493332,0.924018383026123,0.1204134002327919,0.9581529498100281,0.9584029906777709,1e-05
fine,2,0.20553797483444214,0.9189189672470093,0.11926096677780151,0.9581529498100281,0.9584029906777709,1e-05
fine,3,0.20241282880306244,0.9209587574005127,0.1183190867304802,0.9610389471054077,0.9612585700547692,1e-05
fine,4,0.20989328622817993,0.9166241884231567,0.11768161505460739,0.9610389471054077,0.9612585700547692,1e-05
fine,5,0.1906648725271225,0.9298827648162842,0.11700045317411423,0.9639249444007874,0.9640903544856737,1e-05
fine,6,0.1974484771490097,0.924018383026123,0.11630348861217499,0.9624819755554199,0.9626423956710228,1e-05
fine,7,0.19899475574493408,0.9196838736534119,0.1150469183921814,0.9624819755554199,0.9626847442530183,1e-05
fine,8,0.1972634345293045,0.9224885702133179,0.11501247435808182,0.9624819755554199,0.9626847442530183,5e-06
fine,9,0.19030919671058655,0.9237634539604187,0.11444254964590073,0.9624819755554199,0.9626847442530183,5e-06
