fold_name,seed,label,precision,recall,f1,support
fold1,42,fresh,0.9259259259259259,1.0,0.9615384615384616,200
fold1,42,not fresh,1.0,0.04,0.07692307692307693,200
fold1,42,spoiled,0.5319148936170213,1.0,0.6944444444444444,200
fold1,123,fresh,0.9606299212598425,0.61,0.746177370030581,200
fold1,123,not fresh,0.7,0.035,0.06666666666666667,200
fold1,123,spoiled,0.4319654427645788,1.0,0.6033182503770739,200
fold1,2026,fresh,0.9569377990430622,1.0,0.9779951100244498,200
fold1,2026,not fresh,1.0,0.04,0.07692307692307693,200
fold1,2026,spoiled,0.5143603133159269,0.985,0.6758147512864494,200
fold2,42,fresh,0.05128205128205128,0.01,0.016736401673640166,200
fold2,42,not fresh,0.6912280701754386,0.985,0.8123711340206186,200
fold2,42,spoiled,0.5797101449275363,0.8,0.6722689075630253,200
fold2,123,fresh,0.05714285714285714,0.01,0.01702127659574468,200
fold2,123,not fresh,0.7105263157894737,0.945,0.8111587982832618,200
fold2,123,spoiled,0.5518394648829431,0.825,0.6613226452905812,200
fold2,2026,fresh,0.09523809523809523,0.01,0.01809954751131222,200
fold2,2026,not fresh,0.72,0.99,0.8336842105263158,200
fold2,2026,spoiled,0.5657894736842105,0.86,0.6825396825396826,200
fold3,42,fresh,0.5473684210526316,0.8813559322033898,0.6753246753246753,118
fold3,42,not fresh,0.69,0.345,0.46,200
fold3,42,spoiled,0.8026315789473685,0.915,0.8551401869158879,200
fold3,123,fresh,0.5743589743589743,0.9491525423728814,0.7156549520766773,118
fold3,123,not fresh,0.75,0.285,0.41304347826086957,200
fold3,123,spoiled,0.757085020242915,0.935,0.8366890380313199,200
fold3,2026,fresh,0.5113636363636364,0.7627118644067796,0.6122448979591837,118
fold3,2026,not fresh,0.5952380952380952,0.375,0.4601226993865031,200
fold3,2026,spoiled,0.8194444444444444,0.885,0.8509615384615384,200
fold4,42,fresh,0.6521739130434783,1.0,0.7894736842105263,150
fold4,42,not fresh,0.4090909090909091,0.09,0.14754098360655737,200
fold4,42,spoiled,0.532608695652174,0.735,0.6176470588235294,200
fold4,123,fresh,0.6329113924050633,1.0,0.7751937984496124,150
fold4,123,not fresh,0.674074074074074,0.455,0.5432835820895522,200
fold4,123,spoiled,0.7359550561797753,0.655,0.6931216931216931,200
fold4,2026,fresh,0.6122448979591837,1.0,0.759493670886076,150
fold4,2026,not fresh,0.417910447761194,0.14,0.20973782771535582,200
fold4,2026,spoiled,0.5588235294117647,0.665,0.6073059360730594,200
fold5,42,fresh,0.48091603053435117,0.945,0.6374367622259697,200
fold5,42,not fresh,0.9080459770114943,0.395,0.5505226480836237,200
fold5,42,spoiled,0.35833333333333334,0.215,0.26875,200
fold5,123,fresh,0.573134328358209,0.96,0.7177570093457943,200
fold5,123,not fresh,0.9344262295081968,0.285,0.4367816091954023,200
fold5,123,spoiled,0.5490196078431373,0.56,0.5544554455445545,200
fold5,2026,fresh,0.42483660130718953,0.975,0.5918057663125948,200
fold5,2026,not fresh,0.9411764705882353,0.32,0.47761194029850745,200
fold5,2026,spoiled,0.1506849315068493,0.055,0.08058608058608059,200
fold6,42,fresh,1.0,0.01,0.019801980198019802,200
fold6,42,not fresh,0.3929273084479371,1.0,0.5641748942172073,200
fold6,42,spoiled,0.0,0.0,0.0,200
fold6,123,fresh,0.0,0.0,0.0,200
fold6,123,not fresh,0.3913894324853229,1.0,0.5625879043600562,200
fold6,123,spoiled,0.0,0.0,0.0,200
fold6,2026,fresh,1.0,0.03,0.05825242718446602,200
fold6,2026,not fresh,0.36231884057971014,1.0,0.5319148936170213,200
fold6,2026,spoiled,0.0,0.0,0.0,200
