feature_name,fill_value
rgb_r_mean,120.964226
rgb_r_std,18.409092
rgb_g_mean,88.90167
rgb_g_std,30.188946
rgb_b_mean,87.77258
rgb_b_std,30.936876
hsv_h_mean,20.37461
hsv_h_std,57.315933
hsv_s_mean,82.48496
hsv_s_std,49.49684
hsv_v_mean,121.04686
hsv_v_std,18.397425
lab_l_mean,42.829952
lab_l_std,10.335073
lab_a_mean,11.980856
lab_a_std,7.27271
lab_b_mean,6.476321
lab_b_std,4.9020586
glcm_contrast_mean,73.12354
glcm_contrast_std,48.07373
glcm_dissimilarity_mean,3.4187884
glcm_dissimilarity_std,1.1843786
glcm_homogeneity_mean,0.45720226
glcm_homogeneity_std,0.047604516
glcm_energy_mean,0.27320403
glcm_energy_std,0.0070735766
glcm_correlation_mean,0.9547895
glcm_correlation_std,0.027749266
glcm_ASM_mean,0.07467669
glcm_ASM_std,0.0036147104
