run_stem,split_mode,split_name,backbone,seed,h5_size_mb,tflite_size_mb
meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV2,42,23.058029174804688,9.086101531982422
meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV2,123,23.058029174804688,9.086101531982422
meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV2,2026,23.058029174804688,9.086101531982422
meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV3Small,42,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV3Small,123,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV3Small,2026,9.8572998046875,3.860420227050781
meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,ResNet50,42,185.424545288086,90.62005233764648
meatlens_resnet50_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,ResNet50,123,185.424545288086,90.62005233764648
meatlens_resnet50_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,ResNet50,2026,185.424545288086,90.62005233764648
meatlens_mobilenetv3small_cross_rotation_fold2_seed42_cnn_only,cross_rotation,fold2,MobileNetV3Small,42,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold2_seed123_cnn_only,cross_rotation,fold2,MobileNetV3Small,123,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold2_seed2026_cnn_only,cross_rotation,fold2,MobileNetV3Small,2026,9.8572998046875,3.860420227050781
meatlens_resnet50_cross_rotation_fold2_seed42_cnn_only,cross_rotation,fold2,ResNet50,42,185.424545288086,90.62005233764648
meatlens_resnet50_cross_rotation_fold2_seed123_cnn_only,cross_rotation,fold2,ResNet50,123,185.424545288086,90.62005233764648
meatlens_resnet50_cross_rotation_fold2_seed2026_cnn_only,cross_rotation,fold2,ResNet50,2026,185.424545288086,90.62005233764648
meatlens_mobilenetv3small_cross_rotation_fold3_seed42_cnn_only,cross_rotation,fold3,MobileNetV3Small,42,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold3_seed123_cnn_only,cross_rotation,fold3,MobileNetV3Small,123,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold3_seed2026_cnn_only,cross_rotation,fold3,MobileNetV3Small,2026,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold4_seed42_cnn_only,cross_rotation,fold4,MobileNetV3Small,42,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold4_seed123_cnn_only,cross_rotation,fold4,MobileNetV3Small,123,9.8572998046875,3.860420227050781
meatlens_mobilenetv3small_cross_rotation_fold4_seed2026_cnn_only,cross_rotation,fold4,MobileNetV3Small,2026,9.8572998046875,3.860420227050781
