run_stem,split_mode,split_name,backbone,seed,held_out_sample,held_out_cut,train_count,val_count,test_count,class_weights,accuracy,macro_precision,macro_recall,macro_f1,prediction_distribution,confusion_matrix,normalized_confusion_matrix,classification_report,model_h5_path,model_tflite_path,metadata_json_path,history_csv_path,h5_size_mb,tflite_size_mb,inference_mean_ms_per_image,inference_std_ms_per_image
meatlens_efficientnetb0_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,EfficientNetB0,42,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.9756,0.9753,0.9753,0.9753,{},"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""not fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""spoiled"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""accuracy"": 0.9756, ""macro avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""weighted avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}}",E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed42_cnn_only.h5,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed42_cnn_only.tflite,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed42_cnn_only_metadata.json,training_outputs\meatlens_efficientnetb0_cross_rotation_fold1_seed42_cnn_only_history.csv,0.005859375,,,
meatlens_efficientnetb0_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,EfficientNetB0,123,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.9756,0.9753,0.9753,0.9753,{},"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""not fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""spoiled"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""accuracy"": 0.9756, ""macro avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""weighted avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}}",E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed123_cnn_only.h5,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed123_cnn_only.tflite,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed123_cnn_only_metadata.json,training_outputs\meatlens_efficientnetb0_cross_rotation_fold1_seed123_cnn_only_history.csv,0.005859375,,,
meatlens_efficientnetb0_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,EfficientNetB0,2026,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.9756,0.9753,0.9753,0.9753,{},"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""not fresh"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""spoiled"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""accuracy"": 0.9756, ""macro avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}, ""weighted avg"": {""precision"": 0.9753, ""recall"": 0.9753, ""f1-score"": 0.9753, ""support"": 0}}",E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed2026_cnn_only.h5,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed2026_cnn_only.tflite,E:\Thesis Code\training_outputs\models\meatlens_efficientnetb0_cross_rotation_fold1_seed2026_cnn_only_metadata.json,training_outputs\meatlens_efficientnetb0_cross_rotation_fold1_seed2026_cnn_only_history.csv,0.005859375,,,
meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV2,42,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.3237113402061856,0.1079037800687285,0.3333333333333333,0.1630321910695742,"{""fresh"": 485}","[[157, 0, 0], [158, 0, 0], [170, 0, 0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.3237113402061856, ""recall"": 1.0, ""f1-score"": 0.48909657320872274, ""support"": 157.0}, ""not fresh"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 158.0}, ""spoiled"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 170.0}, ""accuracy"": 0.3237113402061856, ""macro avg"": {""precision"": 0.10790378006872853, ""recall"": 0.3333333333333333, ""f1-score"": 0.16303219106957426, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.10478903177808481, ""recall"": 0.3237113402061856, ""f1-score"": 0.15832610720364837, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv2_cross_rotation_fold1_seed42_cnn_only_history.csv,23.058029174804688,9.086101531982422,89.65979200016591,3.782589063923156
meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV2,123,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.3237113402061856,0.1079037800687285,0.3333333333333333,0.1630321910695742,"{""fresh"": 485}","[[157, 0, 0], [158, 0, 0], [170, 0, 0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.3237113402061856, ""recall"": 1.0, ""f1-score"": 0.48909657320872274, ""support"": 157.0}, ""not fresh"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 158.0}, ""spoiled"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 170.0}, ""accuracy"": 0.3237113402061856, ""macro avg"": {""precision"": 0.10790378006872853, ""recall"": 0.3333333333333333, ""f1-score"": 0.16303219106957426, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.10478903177808481, ""recall"": 0.3237113402061856, ""f1-score"": 0.15832610720364837, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv2_cross_rotation_fold1_seed123_cnn_only_history.csv,23.058029174804688,9.086101531982422,92.20208999933676,6.88760897436856
meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV2,2026,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.3237113402061856,0.1079037800687285,0.3333333333333333,0.1630321910695742,"{""fresh"": 485}","[[157, 0, 0], [158, 0, 0], [170, 0, 0]]","[[1.0, 0.0, 0.0], [1.0, 0.0, 0.0], [1.0, 0.0, 0.0]]","{""fresh"": {""precision"": 0.3237113402061856, ""recall"": 1.0, ""f1-score"": 0.48909657320872274, ""support"": 157.0}, ""not fresh"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 158.0}, ""spoiled"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 170.0}, ""accuracy"": 0.3237113402061856, ""macro avg"": {""precision"": 0.10790378006872853, ""recall"": 0.3333333333333333, ""f1-score"": 0.16303219106957426, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.10478903177808481, ""recall"": 0.3237113402061856, ""f1-score"": 0.15832610720364837, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv2_cross_rotation_fold1_seed2026_cnn_only_history.csv,23.058029174804688,9.086101531982422,88.12732000049436,3.230344959159184
meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,MobileNetV3Small,42,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.7298969072164948,0.7765287411305111,0.7243105320818968,0.7259630078818272,"{""spoiled"": 259, ""fresh"": 113, ""not fresh"": 113}","[[108, 21, 28], [3, 85, 70], [2, 7, 161]]","[[0.6878980891719745, 0.1337579617834395, 0.17834394904458598], [0.0189873417721519, 0.5379746835443038, 0.4430379746835443], [0.011764705882352941, 0.041176470588235294, 0.9470588235294117]]","{""fresh"": {""precision"": 0.9557522123893806, ""recall"": 0.6878980891719745, ""f1-score"": 0.8, ""support"": 157.0}, ""not fresh"": {""precision"": 0.7522123893805309, ""recall"": 0.5379746835443038, ""f1-score"": 0.6273062730627307, ""support"": 158.0}, ""spoiled"": {""precision"": 0.6216216216216216, ""recall"": 0.9470588235294117, ""f1-score"": 0.7505827505827506, ""support"": 170.0}, ""accuracy"": 0.7298969072164948, ""macro avg"": {""precision"": 0.7765287411305111, ""recall"": 0.7243105320818968, ""f1-score"": 0.7259630078818272, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.7723264547276955, ""recall"": 0.7298969072164948, ""f1-score"": 0.7264195025628434, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv3small_cross_rotation_fold1_seed42_cnn_only_history.csv,9.8572998046875,3.860420227050781,72.38886200007983,6.175691690408099
meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only,cross_rotation,fold1,MobileNetV3Small,123,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.6577319587628866,0.7209106673093504,0.6488640477556822,0.6370242326675293,"{""spoiled"": 249, ""not fresh"": 169, ""fresh"": 67}","[[66, 83, 8], [0, 85, 73], [1, 1, 168]]","[[0.42038216560509556, 0.5286624203821656, 0.050955414012738856], [0.0, 0.5379746835443038, 0.4620253164556962], [0.0058823529411764705, 0.0058823529411764705, 0.9882352941176471]]","{""fresh"": {""precision"": 0.9850746268656716, ""recall"": 0.42038216560509556, ""f1-score"": 0.5892857142857143, ""support"": 157.0}, ""not fresh"": {""precision"": 0.5029585798816568, ""recall"": 0.5379746835443038, ""f1-score"": 0.5198776758409785, ""support"": 158.0}, ""spoiled"": {""precision"": 0.6746987951807228, ""recall"": 0.9882352941176471, ""f1-score"": 0.801909307875895, ""support"": 170.0}, ""accuracy"": 0.6577319587628866, ""macro avg"": {""precision"": 0.7209106673093504, ""recall"": 0.6488640477556822, ""f1-score"": 0.6370242326675293, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.7192226128246084, ""recall"": 0.6577319587628866, ""f1-score"": 0.6412022933291421, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv3small_cross_rotation_fold1_seed123_cnn_only_history.csv,9.8572998046875,3.860420227050781,66.98520400066627,2.1146065217900047
meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only,cross_rotation,fold1,MobileNetV3Small,2026,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.5463917525773195,0.6174307174307175,0.534764201576785,0.5035470309018696,"{""spoiled"": 330, ""not fresh"": 90, ""fresh"": 65}","[[64, 58, 35], [0, 32, 126], [1, 0, 169]]","[[0.40764331210191085, 0.36942675159235666, 0.2229299363057325], [0.0, 0.20253164556962025, 0.7974683544303798], [0.0058823529411764705, 0.0, 0.9941176470588236]]","{""fresh"": {""precision"": 0.9846153846153847, ""recall"": 0.40764331210191085, ""f1-score"": 0.5765765765765766, ""support"": 157.0}, ""not fresh"": {""precision"": 0.35555555555555557, ""recall"": 0.20253164556962025, ""f1-score"": 0.25806451612903225, ""support"": 158.0}, ""spoiled"": {""precision"": 0.5121212121212121, ""recall"": 0.9941176470588236, ""f1-score"": 0.676, ""support"": 170.0}, ""accuracy"": 0.5463917525773195, ""macro avg"": {""precision"": 0.6174307174307175, ""recall"": 0.534764201576785, ""f1-score"": 0.5035470309018696, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.61406803963505, ""recall"": 0.5463917525773195, ""f1-score"": 0.5076633321049683, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_mobilenetv3small_cross_rotation_fold1_seed2026_cnn_only_history.csv,9.8572998046875,3.860420227050781,74.87985199899413,3.451646386526443
meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only,cross_rotation,fold1,ResNet50,42,pork_shoulder_sample_1,shoulder,1161,205,485,"{""0"": 1.0779944289693593, ""1"": 1.0025906735751295, ""2"": 0.9302884615384616}",0.3422680412371134,0.1927427117711771,0.3491944548520045,0.2291142319925971,"{""fresh"": 384, ""spoiled"": 101}","[[146, 0, 11], [88, 0, 70], [150, 0, 20]]","[[0.9299363057324841, 0.0, 0.07006369426751592], [0.5569620253164557, 0.0, 0.4430379746835443], [0.8823529411764706, 0.0, 0.11764705882352941]]","{""fresh"": {""precision"": 0.3802083333333333, ""recall"": 0.9299363057324841, ""f1-score"": 0.5397412199630314, ""support"": 157.0}, ""not fresh"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 158.0}, ""spoiled"": {""precision"": 0.19801980198019803, ""recall"": 0.11764705882352941, ""f1-score"": 0.14760147601476015, ""support"": 170.0}, ""accuracy"": 0.3422680412371134, ""macro avg"": {""precision"": 0.1927427117711771, ""recall"": 0.3491944548520045, ""f1-score"": 0.22911423199259717, ""support"": 485.0}, ""weighted avg"": {""precision"": 0.19248675189683917, ""recall"": 0.3422680412371134, ""f1-score"": 0.22645695351897968, ""support"": 485.0}}",e:\Thesis Code\training_outputs\models\meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only.h5,e:\Thesis Code\training_outputs\models\meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only.tflite,e:\Thesis Code\training_outputs\models\meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only_metadata.json,e:\Thesis Code\training_outputs\meatlens_resnet50_cross_rotation_fold1_seed42_cnn_only_history.csv,185.424545288086,90.62005233764648,117.0121939999808,12.546565651105755
